query,label,label_name,source
GRANT ALL PRIVILEGES ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT CREATE USER ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT FILE ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT LOAD DATA LOCAL INFILE ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT PROCESS ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT SUPER ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT RELOAD ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT SHUTDOWN ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT ALTER ROUTINE ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT CREATE ROUTINE ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT EVENT ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT TRIGGER ON *.* TO 'root'@'%'@'root';,3,privilege,generated_groq_mysql_simple
GRANT SHOW DATABASES ON *.* TO ''@localhost';,3,privilege,generated_groq_mysql_simple
SELECT * FROM mysql.user INTO OUTFILE '/var/tmp/users.csv';,3,privilege,generated_groq_mysql_simple
SELECT * FROM mysql.user INTO OUTFILE '/var/tmp/users.csv' BYTESAUTOCERTS TRUE;,3,privilege,generated_groq_mysql_simple
"load data local infile '/var/tmp/users.csv' ignore into table mysql.user fields terminated by ',' enclosed by '\""';",3,privilege,generated_groq_mysql_simple
CREATE FUNCTION myfunc RETURNS INTEGER SONAME 'libmysqludf_example.so';,3,privilege,generated_groq_mysql_simple
CREATE FUNCTION myfunc RETURNS INTEGER SONAME 'libmysqludf_mylib.so';,3,privilege,generated_groq_mysql_simple
CREATE FUNCTION myfunc RETURNS INTEGER SONAME 'mysql_udf_example.so';,3,privilege,generated_groq_mysql_simple
DROP PROCEDURE sleep; CREATE PROCEDURE sleep () SELECT SLEEP(0);,3,privilege,generated_groq_mysql_simple
GRANT PROCESS ON mysql.* TO 'test'@localhost;,3,privilege,generated_groq_mysql_simple
LOAD DATA LOCAL INFILE '/tmp/passwd.txt' INTO TABLE mysql.user;,3,privilege,generated_groq_mysql_simple
query,3,privilege,generated_groq_mysql_simple
GRANT ALL PRIVILEGES ON *.* TO 'root'@'%' WITH GRANT OPTION;,3,privilege,generated_groq_mysql_simple
CREATE USER 'exploit'@'%' IDENTIFIED BY 'password';,3,privilege,generated_groq_mysql_simple
GRANT ALL PRIVILEGES ON *.* TO 'exploit'@'%';,3,privilege,generated_groq_mysql_simple
CREATE FUNCTION load_udf SO NAME '/var/www/html/load_udf,3,privilege,generated_groq_mysql_simple
SELECT LOAD_FILE('/etc/passwd');,3,privilege,generated_groq_mysql_simple
UPDATE mysql.user SET Password=UNHEX('somehashedpassword') WHERE User='root';,3,privilege,generated_groq_mysql_simple
GRANT CONNECTION_ADMIN ON *.* TO 'root'@'%';,3,privilege,generated_groq_mysql_simple
GRANT INSERT ON mysql.proc TO 'exploit'@'%';,3,privilege,generated_groq_mysql_simple
GRANT EXECUTE ON SCHEMA mysql TO 'exploit'@'%';,3,privilege,generated_groq_mysql_simple
"SELECT @@global.innodb_data_home_dir,",3,privilege,generated_groq_mysql_simple
"SELECT 1,2 INTO OUTFILE '/tmp/escalate';",3,privilege,generated_groq_mysql_simple
"SELECT @@local innodb_data_home_dir,",3,privilege,generated_groq_mysql_simple
GRANT CREATE ON *.* TO 'exploit'@'%';,3,privilege,generated_groq_mysql_simple
SET GLOBAL load_data_local_infile=1;,3,privilege,generated_groq_mysql_simple
GRANT ALL PRIVILEGES ON *.* TO root@'%' IDENTIFIED BY 'password',3,privilege,generated_groq_mysql_simple
CREATE USER 'user'@'%' IDENTIFIED BY 'password'; GRANT ALL PRIVILEGES ON *.* TO 'user'@'%',3,privilege,generated_groq_mysql_simple
"INSERT INTO mysql.user SET User = 'username', Host = '%', Password = PASSWORD('password'), Grant_priv = 'Y', Privileges = '*.*'",3,privilege,generated_groq_mysql_simple
SET GLOBAL EVENT_SCHEDULER = 1; SET GLOBAL event_scheduler = 1;,3,privilege,generated_groq_mysql_simple
CREATE USER mysql.sys@'%' IDENTIFIED BY 'password',3,privilege,generated_groq_mysql_simple
GRANT FILE ON *.* TO 'username'@%,3,privilege,generated_groq_mysql_simple
"CREATE TABLE xxe (id int, name varchar(255)); SELECT * FROM xxe INTO OUTFILE '/etc/passwd'",3,privilege,generated_groq_mysql_simple
